Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Calidris ptilocnemis,Willemen et al. (2015),LC,Aves,83,0.3759075574172957,-0.09038211109187733
Calidris pusilla,Willemen et al. (2015),LC,Aves,27,1.4659801886531565,0.999763200227911
Calidris ruficollis,Willemen et al. (2015),LC,Aves,26.6,1.0188573368267222,0.5526408675449331
Calidris subminuta,Willemen et al. (2015),LC,Aves,32,0.5887898132790089,0.1225663355605556
Calidris temminckii,Willemen et al. (2015),LC,Aves,27.8,0.9286769887552363,0.46245896204307746
Calidris tenuirostris,Willemen et al. (2015),VU,Aves,174,0.7232828721905935,0.3304627293083591
Callicebus aureipalatii,Willemen et al. (2015),LC,Mammalia,950,-1.4992967161074209,-1.136786071367168
Callicebus bernhardi,Willemen et al. (2015),LC,Mammalia,950,-0.4896744340831805,-0.12716378934292802
Callicebus brunneus,Willemen et al. (2015),LC,Mammalia,992.4,-1.0175844661150866,-0.6551288505812368
Callicebus cinerascens,Willemen et al. (2015),LC,Mammalia,992.4,-1.195370124927405,-0.8329145093935552
Callicebus coimbrai,Willemen et al. (2015),EN,Mammalia,1181.7,-0.7936010252631963,-0.37489369752052915
Callicebus cupreus,Willemen et al. (2015),LC,Mammalia,915,0.4053463548587843,0.7679024246514915
Callicebus discolor,Willemen et al. (2015),LC,Mammalia,917.7,-0.40973128375505463,-0.04717871818067972
Callicebus donacophilus,Willemen et al. (2015),LC,Mammalia,795,0.5286307729811275,0.8913425858108222
Callicebus moloch,Willemen et al. (2015),LC,Mammalia,854.7,0.0839946872194467,0.4466290178882402
Callicebus nigrifrons,Willemen et al. (2015),NT,Mammalia,1215.1,-0.37463468670566,0.06627045782697234
Callicebus oenanthe,Willemen et al. (2015),EN,Mammalia,992.4,-1.4992967161074209,-1.080343703723906
Callicebus ornatus,Willemen et al. (2015),VU,Mammalia,832.6,-0.2570080681912229,0.17924257591687004
